ID,Attrition_Flag,Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Used_Bal,Total_Unused_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
357537129,Existing Customer,19,F,0,Graduate,Single,$40K - $60K,Blue,36,5,4,3,4323,0,3930,0.758,2067,42,0.355,0
356293291,Existing Customer,19,F,0,Graduate,Single,$40K - $60K,Blue,13,6,4,4,1807.3,1101,542,0.713,2152,50,0.471,0.67
357348766,Existing Customer,19,M,1,,Single,$60K - $80K,Green,15,6,4,3,4759.7,0,4327,0.624,2344,48,0.297,0
358396554,Existing Customer,19,M,0,College,Single,Less than $40K,Blue,36,4,1,2,2127.4,1070,864,0.448,2334,61,0.452,0.553
359569779,Existing Customer,19,M,0,Uneducated,Single,Less than $40K,Blue,36,4,4,4,2931.5,1567,1098,0.586,2514,64,0.455,0.588
357290079,Existing Customer,19,M,0,Post-Graduate,Married,$40K - $60K,Blue,36,6,1,4,3050.3,2080,693,0.695,3567,73,0.622,0.75
354086716,Existing Customer,19,F,1,N/A,Single,$40K - $60K,Blue,14,4,3,4,6209.5,2324,3321,0.655,2482,57,0.727,0.412
385778154,Existing Customer,19,F,0,High School,Single,Less than $40K,Blue,13,6,4,4,3868.7,1195,2322,0.556,2255,48,0.5,0.34
356601954,Existing Customer,19,M,0,Uneducated,Single,$40K - $60K,Blue,15,4,1,3,2373.8,1695,463,0.766,1833,27,0.588,0.785
389563329,Existing Customer,19,F,0,Graduate,Single,$40K - $60K,Blue,13,5,1,2,6220.5,0,5655,0.842,2312,61,0.649,0
405785866,Existing Customer,19,F,0,N/A,Single,N/A,Blue,13,4,3,2,2860,1876,724,0.606,2625,45,0.364,0.722
393754704,Existing Customer,19,M,0,College,Single,N/A,Blue,13,6,4,2,2581.7,0,2347,0.863,2595,56,0.333,0
408016891,Existing Customer,19,M,0,High School,Single,$60K - $80K,Blue,21,6,3,3,1839.2,957,715,0.576,2099,34,0.417,0.572
404146479,Existing Customer,19,M,0,Graduate,Single,Less than $40K,Blue,20,6,3,3,1582.13,495,943.3,1.062,2546,40,0.333,0.344
357124366,Existing Customer,19,F,0,N/A,Single,N/A,Blue,13,4,1,2,4834.5,1240,3155,0.662,2272,46,0.438,0.282
389354266,Attrited Customer,19,F,0,High School,Single,$40K - $60K,Blue,13,2,3,4,1903,1616,114,0.331,869,27,0.286,0.934
356629929,Attrited Customer,19,M,0,High School,Single,$40K - $60K,Blue,15,3,1,3,3656.4,0,3324,0.537,982,22,0.692,0
394850829,Existing Customer,19,M,0,College,Single,$40K - $60K,Blue,13,5,3,2,2251.7,1196,851,0.623,2180,33,0.941,0.584
389843341,Existing Customer,19,F,0,Post-Graduate,Single,Less than $40K,Blue,13,5,4,2,3192.2,1668,1234,0.621,2088,34,0.478,0.575
356382579,Existing Customer,19,F,1,High School,Single,Less than $40K,Blue,15,5,4,3,2792.9,2162,377,0.635,2386,47,0.382,0.852
410144116,Existing Customer,19,F,0,Uneducated,Single,Less than $40K,Blue,20,4,4,4,1582.13,0,1438.3,0.764,2731,39,0.5,0
402334329,Attrited Customer,19,F,0,Uneducated,Single,Less than $40K,Blue,20,3,3,4,1582.13,0,1438.3,0.506,947,20,0.053,0
356706879,Existing Customer,19,F,1,College,Single,N/A,Blue,16,4,4,3,3026.1,1599,1152,0.694,2270,44,0.333,0.581
360672429,Existing Customer,19,M,0,Uneducated,Single,Less than $40K,Blue,13,4,6,4,2460.7,451,1786,0.837,2192,36,0.44,0.202
355532566,Existing Customer,19,M,1,High School,Single,$40K - $60K,Blue,13,6,3,4,1620.3,0,1473,0.813,2099,39,0.857,0
408843316,Existing Customer,19,F,1,College,Single,Less than $40K,Blue,15,5,3,4,1582.13,737,701.3,0.806,2856,39,0.5,0.512
389732679,Existing Customer,19,F,0,High School,Single,N/A,Blue,13,4,4,3,3341.8,1460,1578,0.98,2243,38,0.462,0.481
355467016,Existing Customer,19,M,0,High School,Single,Less than $40K,Blue,13,6,1,4,1952.5,1162,613,0.93,2169,43,0.536,0.655
355316904,Existing Customer,19,M,0,Graduate,Single,$60K - $80K,Blue,13,3,4,3,7812.2,0,7102,0.537,2411,41,0.281,0
360401416,Existing Customer,19,F,1,High School,Single,Less than $40K,Blue,13,3,3,3,2644.4,1198,1206,0.501,2692,63,0.5,0.498
406220679,Existing Customer,19,M,1,College,Divorced,$40K - $60K,Blue,21,3,4,2,1582.13,0,1438.3,0.745,2660,89,0.712,0
355187641,Existing Customer,19,F,0,Uneducated,Single,$40K - $60K,Blue,18,4,4,2,2236.3,1471,562,0.672,2236,55,0.41,0.724
356226016,Existing Customer,19,M,1,N/A,Single,Less than $40K,Blue,13,6,3,3,2726.9,828,1651,0.44,2225,44,0.294,0.334
394888704,Attrited Customer,19,F,0,Post-Graduate,Single,Less than $40K,Blue,15,3,3,3,1586.2,1428,14,0.496,1134,26,0.238,0.99
357446266,Existing Customer,19,M,0,N/A,Single,N/A,Blue,16,5,4,2,4264.7,0,3877,0.773,2473,33,0.833,0
405100891,Existing Customer,19,F,0,Graduate,Single,$40K - $60K,Blue,17,5,4,3,3430.9,1328,1791,0.722,2740,62,0.512,0.426
357593866,Existing Customer,19,F,1,N/A,Single,N/A,Blue,15,3,6,3,6010.4,0,5464,0.7,2473,46,0.484,0
355181716,Existing Customer,19,M,0,High School,Single,Less than $40K,Green,36,6,4,3,3008.5,1348,1387,0.805,2441,58,0.45,0.493
357921766,Existing Customer,19,M,1,College,Single,$40K - $60K,Blue,36,3,6,3,2973.3,1256,1447,0.949,2111,29,0.706,0.465
358400454,Existing Customer,19,F,2,High School,Single,N/A,Blue,13,5,0,3,5650.7,0,5137,0.699,2496,49,0.581,0
393731754,Attrited Customer,19,M,0,Graduate,Single,Less than $40K,Blue,13,5,3,4,2715.9,2410,59,0.544,1027,20,0.176,0.976
359747491,Existing Customer,19,M,0,Graduate,Single,Less than $40K,Blue,15,6,4,3,3014,2069,671,0.418,1997,44,0.419,0.755
355293241,Attrited Customer,19,F,0,High School,Single,N/A,Blue,13,1,3,4,6767.2,0,6152,0.391,968,23,0.533,0
357382704,Existing Customer,19,F,1,N/A,Single,Less than $40K,Blue,36,4,4,3,2812.7,1990,567,0.575,2266,57,0.357,0.778
394380804,Existing Customer,19,F,0,High School,Single,N/A,Blue,13,3,4,4,11314.6,2286,8000,0.671,2564,57,0.462,0.222
356774079,Existing Customer,19,M,0,College,Single,$40K - $60K,Blue,36,5,3,3,2922.7,1611,1046,0.599,2349,41,0.464,0.606
355264291,Existing Customer,19,F,0,N/A,Single,$40K - $60K,Blue,16,6,3,4,1773.2,835,777,0.588,2148,40,0.379,0.518
408598666,Existing Customer,19,F,1,Uneducated,Single,N/A,Blue,13,6,3,3,13207.7,956,11051,0.832,2678,50,0.471,0.08
410037991,Existing Customer,19,M,0,Graduate,Single,Less than $40K,Blue,21,4,4,2,1743.5,1535,50,0.462,2299,49,0.485,0.968
359184166,Existing Customer,19,M,0,College,NaN,Less than $40K,Blue,13,6,1,2,6284.3,789,4924,0.678,3323,61,0.525,0.138
358437541,Existing Customer,19,F,0,High School,Single,$40K - $60K,Blue,36,6,4,4,4567.2,0,4152,0.804,2351,42,0.312,0
389671479,Existing Customer,19,F,0,College,Married,$40K - $60K,Blue,13,2,4,3,2211,1070,940,0.906,3625,85,0.635,0.532
403580754,Existing Customer,19,M,1,N/A,Single,Less than $40K,Blue,20,6,4,2,2849,1748,842,0.626,2804,52,0.486,0.675
354073554,Existing Customer,19,M,0,Graduate,Divorced,N/A,Blue,36,6,1,3,23192.4,2517,18567,0.763,2309,71,0.543,0.119
384850629,Existing Customer,19,F,0,N/A,NaN,N/A,Blue,18,3,4,3,13709.3,1319,11144,0.655,3996,71,0.543,0.106
394461879,Existing Customer,19,F,1,High School,NaN,N/A,Blue,13,3,1,3,11762.3,2517,8176,0.88,4138,76,0.727,0.235
355241266,Existing Customer,19,M,0,N/A,Married,$120K +,Blue,17,4,3,1,34020.8,2005,28923,0.52,3863,72,0.756,0.065
360059454,Existing Customer,19,M,0,Graduate,Married,Less than $40K,Blue,36,5,3,4,10907.6,0,9916,0.793,3477,65,0.667,0
355668016,Existing Customer,19,F,0,N/A,Single,N/A,Blue,36,3,4,2,8354.5,1032,6563,1.035,4080,72,0.8,0.136
359767029,Existing Customer,19,F,0,Graduate,NaN,Less than $40K,Blue,14,3,3,1,2379.3,1942,221,0.582,4380,57,0.781,0.898
354538966,Existing Customer,19,F,0,High School,Married,Less than $40K,Blue,18,5,4,2,5964.2,682,4740,0.892,4460,62,0.676,0.126
411025929,Existing Customer,19,F,0,Graduate,Single,Less than $40K,Blue,22,3,1,3,1634.6,0,1486,0.734,4535,82,0.907,0
360050829,Existing Customer,19,F,0,Graduate,Single,Less than $40K,Blue,19,2,1,2,3757.6,1109,2307,0.783,4614,70,1,0.325
360017491,Existing Customer,19,M,0,N/A,NaN,Less than $40K,Silver,13,2,1,1,11279.4,0,10254,0.51,4258,68,0.838,0
356203516,Existing Customer,19,F,0,Uneducated,NaN,N/A,Silver,13,1,3,3,37967.6,2403,32113,0.623,4174,59,0.735,0.07
392497441,Existing Customer,20,F,0,N/A,Married,Less than $40K,Blue,20,2,3,2,2767.6,2378,138,1.033,4746,75,0.875,0.945
354297579,Existing Customer,20,F,0,Graduate,Single,Less than $40K,Blue,36,6,1,2,1844.7,1598,79,0.994,2389,43,0.536,0.953
358638916,Existing Customer,20,F,1,Graduate,Single,N/A,Green,13,6,3,4,2572.9,2080,259,1.067,2294,45,0.452,0.889
360608641,Existing Customer,20,M,0,Graduate,Single,$120K +,Blue,17,6,3,2,9584.3,1354,7359,0.558,2094,36,0.333,0.155
355436116,Existing Customer,20,M,0,N/A,Single,$40K - $60K,Blue,17,5,1,2,5071,0,4610,0.794,2280,49,0.4,0
359613616,Existing Customer,20,F,1,N/A,Single,Less than $40K,Blue,36,3,4,3,1708.3,723,830,0.666,1954,43,0.344,0.466
355195629,Existing Customer,20,M,0,Graduate,Married,$40K - $60K,Blue,36,3,3,4,12620.3,829,10644,0.707,2147,41,0.519,0.072
406995241,Existing Customer,20,F,0,High School,Married,Less than $40K,Blue,22,4,1,2,2050.4,1384,480,0.904,1662,32,0.391,0.742
358579929,Existing Customer,20,M,1,High School,Single,$60K - $80K,Blue,18,5,3,2,3003,1351,1379,0.623,2319,61,0.743,0.495
360025104,Existing Customer,20,F,1,High School,Single,Less than $40K,Blue,19,4,1,3,4680.5,1748,2507,0.516,2236,57,0.541,0.411
356093904,Existing Customer,20,M,0,Uneducated,Married,$40K - $60K,Blue,15,4,4,4,4050.2,0,3682,0.685,1826,35,0.75,0
354092604,Existing Customer,20,M,0,Graduate,Single,$40K - $60K,Blue,16,4,1,2,3495.8,1118,2060,0.643,2010,31,0.55,0.352
360108054,Existing Customer,20,F,2,College,Divorced,Less than $40K,Blue,14,4,4,3,2803.9,2130,419,0.693,2605,61,0.794,0.836
360427179,Existing Customer,20,M,0,N/A,Married,$40K - $60K,Blue,14,4,1,4,4205.3,2130,1693,0.371,2026,49,0.441,0.557
403376266,Existing Customer,20,F,1,Post-Graduate,Single,Less than $40K,Blue,22,4,1,3,3261.5,1635,1330,0.7,2553,59,0.553,0.551
355645779,Existing Customer,20,M,0,Uneducated,Single,$60K - $80K,Blue,36,4,4,3,2710.4,0,2464,0.502,2636,50,0.429,0
403637866,Existing Customer,20,M,0,Post-Graduate,Single,N/A,Blue,22,5,3,2,7843,873,6257,0.53,2498,37,0.321,0.122
358091641,Existing Customer,20,F,1,College,Divorced,Less than $40K,Blue,15,5,4,2,2382.6,890,1276,1.024,3563,70,0.892,0.411
359272516,Existing Customer,20,F,0,Graduate,Married,Less than $40K,Blue,17,4,3,2,2246.2,1567,475,0.744,5146,78,0.733,0.767
358085154,Existing Customer,20,F,0,Graduate,Divorced,N/A,Blue,36,5,1,0,14782.9,2003,11436,0.936,4715,86,0.72,0.149
355862041,Attrited Customer,20,F,0,N/A,Single,Less than $40K,Blue,16,6,1,3,2018.5,1647,188,0.513,1903,44,0.63,0.898
358690591,Existing Customer,20,F,0,Graduate,Married,Less than $40K,Blue,36,3,3,2,1841.4,752,922,0.963,4513,57,0.966,0.449
385439229,Existing Customer,20,F,1,Post-Graduate,Married,Less than $40K,Blue,13,3,3,2,1582.13,990,448.3,0.715,3855,73,1.147,0.688
357782529,Existing Customer,20,F,1,Uneducated,NaN,Less than $40K,Blue,16,3,1,2,1582.13,0,1438.3,0.469,4479,70,0.628,0
358744516,Attrited Customer,20,F,0,High School,Single,Less than $40K,Blue,18,6,1,4,1582.13,0,1438.3,0.781,2641,40,0.6,0
383688241,Existing Customer,20,F,1,College,Married,Less than $40K,Blue,20,5,4,3,2082.3,0,1893,0.691,5176,91,0.784,0
359662329,Existing Customer,20,M,0,College,NaN,$80K - $120K,Silver,19,1,1,3,37967.6,1131,33385,0.715,14716,112,0.75,0.033
357864054,Existing Customer,20,F,0,Graduate,NaN,Less than $40K,Blue,36,1,1,2,5002.8,1450,3098,0.844,14330,131,0.638,0.319
384228504,Existing Customer,20,M,1,Graduate,Single,$40K - $60K,Blue,21,2,4,1,11312.4,787,9497,0.739,13355,92,0.84,0.077
356219154,Existing Customer,20,F,1,High School,Married,N/A,Blue,15,2,1,2,8215.9,0,7469,0.688,16730,122,0.718,0
360543241,Existing Customer,20,F,0,Uneducated,Single,Less than $40K,Silver,19,3,4,3,12080.2,2517,8465,0.84,13563,97,0.732,0.229
390059079,Existing Customer,20,M,0,Graduate,Single,Less than $40K,Blue,13,2,3,4,3943.5,2420,1165,0.812,15656,124,0.746,0.675
356866816,Attrited Customer,21,M,0,High School,Divorced,$60K - $80K,Blue,36,2,4,2,14633.3,2517,10786,0.929,10219,85,0.809,0.189
357057766,Existing Customer,21,M,0,Graduate,Married,Less than $40K,Blue,18,5,1,3,3237.3,1789,1154,1.271,2591,55,0.897,0.608
397281391,Existing Customer,21,F,0,N/A,Single,N/A,Blue,13,5,4,2,23860.1,661,21030,0.767,2534,51,0.962,0.03
355033591,Existing Customer,21,M,1,High School,Single,Less than $40K,Blue,36,5,3,3,2145,0,1950,0.803,2074,81,0.8,0
358755766,Existing Customer,21,M,0,Graduate,Single,Less than $40K,Blue,36,4,3,4,1877.7,1191,516,0.669,2950,87,0.977,0.698
355297179,Existing Customer,21,F,0,N/A,Single,Less than $40K,Silver,36,4,4,4,16401,873,14037,0.737,2560,72,0.674,0.059
358569279,Existing Customer,21,M,0,Post-Graduate,Married,$40K - $60K,Blue,16,5,1,3,4031.5,0,3665,0.737,1813,31,0.409,0
356029479,Existing Customer,21,M,0,High School,Single,Less than $40K,Blue,19,3,4,4,3828,0,3480,0.731,2744,75,0.829,0
407552304,Existing Customer,21,F,0,Graduate,Divorced,Less than $40K,Green,23,5,1,3,4199.8,584,3234,0.7,2947,87,0.706,0.153
354683716,Existing Customer,21,M,1,N/A,Single,$40K - $60K,Blue,15,3,4,1,2319.9,1542,567,0.67,2261,56,0.6,0.731
357984429,Existing Customer,21,M,0,Post-Graduate,Married,N/A,Blue,13,4,1,2,2868.8,1630,978,0.521,1822,33,0.32,0.625
355964529,Existing Customer,21,M,0,High School,Married,N/A,Blue,21,5,4,5,28179.8,1209,24409,1.228,2157,49,1.882,0.047
356692254,Existing Customer,21,M,1,High School,Single,Less than $40K,Blue,14,4,4,1,3186.7,1398,1499,0.907,2698,73,0.872,0.483
358034341,Existing Customer,21,M,0,Uneducated,Divorced,N/A,Blue,36,3,4,3,18442.6,1535,15231,1.042,3093,77,0.878,0.092
355612966,Existing Customer,21,M,1,High School,Divorced,Less than $40K,Blue,36,5,4,4,2491.5,1935,330,0.653,2306,61,0.525,0.854
357552954,Existing Customer,21,F,0,Graduate,Single,N/A,Silver,15,3,4,3,35226.4,1232,30792,1.04,2507,64,0.882,0.038
356713179,Existing Customer,21,F,0,College,Married,N/A,Blue,36,3,3,3,6253.5,0,5685,1.334,2395,62,1,0
355056466,Existing Customer,21,M,1,Uneducated,Single,$60K - $80K,Blue,18,6,4,2,18264.4,1716,14888,1.025,2580,61,0.649,0.103
359781054,Existing Customer,21,F,0,Uneducated,Single,Less than $40K,Silver,20,6,4,3,14072.3,1650,11143,0.783,2671,67,0.763,0.129
355588066,Existing Customer,21,M,0,High School,Single,Less than $40K,Blue,36,6,4,4,2524.5,1015,1280,1.04,3366,82,0.708,0.442
356894041,Attrited Customer,21,F,1,Graduate,Single,Less than $40K,Blue,36,4,3,5,1786.4,0,1624,0.299,1897,35,0.25,0
407544241,Existing Customer,21,F,1,Graduate,Divorced,Less than $40K,Blue,23,4,1,3,2797.3,1156,1387,0.641,3864,64,0.684,0.455
357131266,Existing Customer,21,F,0,N/A,Married,N/A,Blue,36,3,6,2,3876.4,1306,2218,0.8,4252,78,0.814,0.371
355049116,Existing Customer,21,F,0,N/A,Single,Less than $40K,Blue,13,3,3,2,2625.7,0,2387,0.639,4513,66,0.65,0
394589791,Existing Customer,21,F,1,College,Divorced,N/A,Blue,17,5,4,2,13069.1,1488,10393,0.587,4865,87,0.891,0.125
394769529,Existing Customer,21,M,0,Uneducated,Single,Less than $40K,Blue,20,1,1,3,4776.2,893,3449,0.878,17064,116,0.758,0.206
385383316,Existing Customer,21,F,1,Post-Graduate,Single,Less than $40K,Blue,14,2,4,3,4232.8,0,3848,0.841,14054,105,0.694,0
355831929,Existing Customer,21,M,1,Post-Graduate,Single,N/A,Blue,13,4,4,3,22033,1204,18826,0.979,15862,127,0.693,0.06
356187354,Existing Customer,21,F,0,Graduate,Married,N/A,Blue,15,2,3,2,25413.3,897,22206,0.913,14049,120,0.714,0.039
355095429,Existing Customer,21,M,1,N/A,NaN,$40K - $60K,Blue,15,5,3,4,10211.3,2288,6995,0.928,13804,110,0.719,0.246
393728304,Existing Customer,21,M,2,High School,Married,$80K - $120K,Blue,15,6,3,2,4573.8,1635,2523,0.778,1678,37,0.542,0.393
355246366,Existing Customer,21,M,0,Post-Graduate,Single,$40K - $60K,Blue,19,4,1,2,14995.2,1482,12150,0.893,2168,42,2.5,0.109
359952166,Existing Customer,21,M,0,Graduate,Married,$40K - $60K,Blue,36,3,4,4,1604.9,590,869,1.164,2229,52,1.08,0.404
359132116,Existing Customer,21,M,0,High School,Married,$40K - $60K,Blue,13,4,1,4,1603.8,671,787,1.583,2449,56,0.931,0.46
356764929,Existing Customer,21,M,2,Graduate,Divorced,$40K - $60K,Silver,22,6,3,3,17135.8,1383,14195,0.794,2492,71,0.614,0.089
360248979,Existing Customer,21,M,1,Graduate,Married,$80K - $120K,Blue,14,5,4,2,16338.3,0,14853,1.025,1800,41,0.519,0
354993316,Existing Customer,21,M,1,High School,Married,$40K - $60K,Blue,36,3,1,3,1582.13,0,1438.3,0.742,2144,41,0.577,0
389805504,Existing Customer,21,M,0,Graduate,Married,$40K - $60K,Blue,18,4,4,4,4985.2,0,4532,0.734,1885,55,0.528,0
356365291,Existing Customer,21,M,0,Uneducated,Married,$60K - $80K,Blue,20,5,3,3,9451.2,1201,7391,0.778,1842,50,0.852,0.14
357728829,Existing Customer,21,F,1,Graduate,Married,N/A,Green,19,3,4,4,1879.9,1465,244,0.558,1757,48,0.548,0.857
354121141,Existing Customer,21,M,1,College,Single,$60K - $80K,Blue,36,5,4,2,5880.6,0,5346,0.928,3253,80,0.818,0
386691579,Existing Customer,21,F,1,College,Single,Less than $40K,Blue,23,4,4,4,5439.5,0,4945,1.033,2743,69,0.769,0
390187066,Existing Customer,21,M,1,College,Single,$80K - $120K,Blue,19,5,4,3,7711,2103,4907,1.007,2413,48,1.087,0.3
356885191,Existing Customer,21,F,0,Uneducated,Divorced,Less than $40K,Blue,19,5,6,4,3218.6,0,2926,0.84,2775,74,1.114,0
355408179,Existing Customer,21,M,1,Post-Graduate,Married,Less than $40K,Blue,18,4,4,2,3259.3,1466,1497,1.378,2523,48,0.846,0.495
394880116,Existing Customer,21,M,0,N/A,Divorced,$80K - $120K,Blue,14,6,4,3,3898.4,0,3544,0.718,2435,63,1.032,0
354929266,Existing Customer,21,M,2,Graduate,Divorced,Less than $40K,Blue,20,4,1,2,2708.2,2021,441,0.966,2320,57,0.676,0.821
359998479,Existing Customer,21,F,0,Uneducated,Single,Less than $40K,Blue,23,5,4,4,8796.7,0,7997,0.935,2208,56,0.806,0
359565766,Existing Customer,21,F,0,Post-Graduate,Divorced,Less than $40K,Blue,17,3,3,4,2843.5,2008,577,1.266,3519,73,0.622,0.777
358617091,Existing Customer,21,M,1,Graduate,Married,Less than $40K,Blue,18,4,1,4,2981,629,2081,0.771,1718,37,0.762,0.232
384327579,Existing Customer,21,M,0,N/A,Married,$60K - $80K,Blue,23,3,4,2,6846.4,1092,5132,0.919,2222,39,0.56,0.175
359707929,Existing Customer,21,M,0,College,Divorced,N/A,Blue,15,6,4,2,3417.7,1720,1387,0.661,2460,71,0.69,0.554
354897166,Existing Customer,21,M,0,Graduate,Married,Less than $40K,Blue,19,6,3,4,3109.7,1430,1397,0.885,1608,30,1.308,0.506
394902466,Existing Customer,21,F,2,Uneducated,Single,N/A,Blue,18,4,1,2,25437.5,1236,21889,0.995,2536,69,0.865,0.053
399384729,Existing Customer,21,F,1,High School,Single,Less than $40K,Blue,23,3,1,2,3649.8,927,2391,0.934,3011,83,0.804,0.279
387086079,Existing Customer,21,M,1,N/A,Single,$60K - $80K,Blue,19,3,1,2,25857.7,1990,21517,0.631,2650,65,0.912,0.085
358993029,Existing Customer,21,F,0,High School,Single,Less than $40K,Blue,13,6,4,5,5764,1608,3632,1.243,2712,64,0.778,0.307
357477016,Existing Customer,21,F,0,Post-Graduate,Single,Less than $40K,Blue,36,5,3,3,5583.6,1223,3853,0.83,2675,57,0.629,0.241
356872891,Existing Customer,21,F,0,Post-Graduate,Single,N/A,Gold,36,4,1,4,37967.6,1452,33064,0.887,2336,49,1.13,0.042
359573604,Existing Customer,21,F,2,N/A,Single,Less than $40K,Blue,21,4,4,2,2527.8,0,2298,0.776,4814,88,0.63,0
358545766,Existing Customer,21,F,1,Graduate,Single,N/A,Blue,36,5,3,3,14974.3,1172,12441,0.657,4253,84,0.75,0.086
359626291,Existing Customer,21,F,1,High School,Single,Less than $40K,Blue,20,4,3,1,3404.5,1488,1607,0.924,4642,92,0.878,0.481
357798391,Existing Customer,21,F,1,Uneducated,Married,Less than $40K,Blue,18,3,4,3,2084.5,1146,749,0.685,4333,72,0.714,0.605
355333291,Attrited Customer,21,F,1,Uneducated,Single,Less than $40K,Blue,36,3,3,4,2767.6,2312,204,0.625,2321,36,0.5,0.919
411452529,Existing Customer,21,F,2,Graduate,Married,Less than $40K,Blue,25,6,4,2,3005.2,1746,986,1.028,4702,85,0.771,0.639
354687579,Existing Customer,21,F,1,N/A,NaN,N/A,Blue,36,6,4,2,7997,1835,5435,0.86,3759,69,0.917,0.252
355631529,Existing Customer,21,F,1,N/A,Single,Less than $40K,Blue,36,1,1,2,3039.3,1879,884,0.701,4660,80,0.778,0.68
357774579,Existing Customer,21,F,1,Graduate,Married,Less than $40K,Green,36,2,3,0,1582.13,0,1438.3,0.734,4769,84,0.826,0
394770054,Existing Customer,21,F,1,Uneducated,Married,Less than $40K,Blue,21,2,1,3,3115.2,1819,1013,0.674,4761,75,0.744,0.642
357038341,Attrited Customer,21,F,0,College,Married,Less than $40K,Blue,19,2,1,2,3587.1,2517,744,0.636,2461,54,0.742,0.772
359972229,Existing Customer,21,M,0,High School,Single,$40K - $60K,Blue,36,2,4,1,4425.3,1437,2586,0.69,12510,96,0.92,0.357
358493679,Attrited Customer,21,M,0,Post-Graduate,Divorced,$60K - $80K,Blue,15,2,1,3,8824.2,0,8022,0.381,5660,59,0.735,0
355009966,Existing Customer,21,M,1,Uneducated,Single,$40K - $60K,Blue,22,2,4,3,12674.2,1203,10319,0.847,13720,119,0.831,0.104
401224966,Existing Customer,21,M,1,Uneducated,Married,$40K - $60K,Blue,23,1,4,1,8961.7,1750,6397,0.751,14912,114,0.869,0.215
355131204,Existing Customer,21,M,1,Graduate,Married,$80K - $120K,Silver,36,1,3,1,37967.6,1666,32850,0.82,13971,116,0.812,0.048
360759954,Existing Customer,21,F,1,Uneducated,Single,Less than $40K,Blue,36,1,3,1,4004,1419,2221,0.749,13306,99,0.678,0.39
356845816,Existing Customer,21,M,0,Post-Graduate,Married,Less than $40K,Blue,36,1,1,1,3383.6,0,3076,0.924,15514,123,0.892,0
360229441,Existing Customer,21,M,1,High School,Married,$60K - $80K,Blue,16,3,3,1,13744.5,2517,9978,0.827,14524,106,0.683,0.201
376610191,Attrited Customer,21,M,0,Graduate,Single,$120K +,Blue,22,2,3,3,12894.2,0,11722,0.778,8302,78,0.902,0
357410079,Attrited Customer,21,M,0,High School,Single,$40K - $60K,Blue,36,6,4,1,6586.8,660,5328,1.041,10211,68,1,0.11
355319829,Attrited Customer,21,M,1,High School,Single,$60K - $80K,Blue,17,6,1,3,19518.4,829,16915,0.851,9658,78,0.773,0.047
358418154,Existing Customer,21,M,1,Graduate,Divorced,Less than $40K,Blue,36,4,4,2,4222.9,1139,2700,0.632,14791,124,0.771,0.297
354804354,Attrited Customer,21,M,1,Graduate,Married,$60K - $80K,Blue,17,5,1,4,7150,2517,3983,0.915,9451,79,0.646,0.387
360605079,Existing Customer,21,M,2,College,Married,$40K - $60K,Blue,17,3,1,3,5088.6,1232,3394,0.731,14740,102,0.759,0.266
